Date,Artist ,Album,Genre,Year,Label
06/01/2022,Burial ,Antidawn EP,Electronic,2022,Hyperdub
06/01/2022,The Weeknd,Dawn FM,Pop,2022,XO
14/01/2022,FKA Twigs,Caprisongs,Pop,2022,Young
14/01/2022,Earl Sweatshirt,Sick!,Hip Hop,2022,Warner
21/01/2022,Pan Daijing,Tissues,Ambient,2022,PAN
28/01/2022,VTSS,Projections,Electronic,2022,Ninja Tune 
04/02/2022,Black Country New Roads,Ants From Up Here,Rock,2022,Ninja Tune 
04/02/2022,Mitski ,Laurel Hell,Rock,2022,Dead Oceans
04/02/2022,Saba,Few Good Things,Hip Hop,2022,Pivot Gang
04/02/2022,Cate le Bon ,Pompeii,Rock,2022,Mexican Summer
11/02/2022,Big Thief,Dragon New Warm Mountain I Believe in You,Folk,2022,4AD
18/03/2022,Charli XCX,Crash,Pop,2022,Warner
25/03/2022,LSDXOXO,Dedicated 2 Disrespect: the Remixes,Electronic,2022,Floorgasm
25/03/2022,Croatian Amor,Remember Rainbow Bridge,Ambient,2022,Posh Isolation
01/04/2022,Samurai Breaks,XTC Generation,Electronic,2022,Off Me Nut Records
07/04/2022,Yung Lean,Stardust,Hip Hop,2022,World Affairs
08/04/2022,Billy Woods,Aethiopes,Hip Hop,2022,Backwoodz Studioz
29/04/2022,Batu,Opal,Electronic,2022,Timedance
01/05/2022,Various Artists,Department of Energy: May Day (Landscape Mixtape),Ambient,2022,The Department of Energy
04/05/2022,Lingua Ignota,SINNER GET READY,Experimental,2021,Sargent House
04/05/2022,Coil,Musick to Play in the Dark 2,Experimental,2000,Chalice
04/05/2022,Kelly Lee Owens,LP.8,Electronic,2022,Smalltown Supersound
05/05/2022,Loraine James,For You and I,Electronic,2019,Hyperdub
05/05/2022,"Joni Void, N Nau",L'Oiseau Chante Avec ses Doigts,Ambient,2021,DAME
05/05/2022,Madteo,Noi No,Electronic,2012,Sahko Recordings
05/05/2022,輕描淡寫 [Qīngmiáodànxiě],小圈子 [small circle],Ambient,2017,[self]
06/05/2022,Oliver Coates,The Pale Faced Family on the Hill,Ambient,2022,Line Explorations
06/05/2022,Arcade Fire,WE,Rock,2022,[self]
08/05/2022,Sharon Van Etten,We've Been Going About This all Wrong,Rock,2022,Jagjaguar
08/05/2022,Various Artists,"Punk 45: Kill the Hippies! Kill Yourself! The American Nation Destroys Its Young. Underground Punk in the United States of America, Vol. 1. 1973-1980",Rock,2013,Soul Jazz Records
09/05/2022,CAN,Tago Mago,Rock,1971,Spoon Records
10/05/2022,"Bladee , Ecco2k",Crest,Hip Hop,2022,YEAR0001
10/05/2022,"moor mother, mental jewellery ",True opera ,Rock,2020,Don Giovanni Records 
10/05/2022,Stereolab,Emperor Tomato Ketchup,Rock ,1996,Elektra
11/05/2022,Various Artists,Gilles Peterson Brazilika,World Music,2009,Far Out Recordings
11/05/2022,Denzel Curry,Melt My Eyez See Your Future,Hip Hop ,2022,Loma Vista
11/05/2022,Aldous Harding ,Warm Chris,Folk,2022,4AD
11/05/2022,Pharoah Sanders,Love In us All,Jazz,1974,Impulse!
12/05/2022,Dagga,Gutter Trax 2 ,Electronic,2020,Steel City Dance discs
12/05/2022,"Mu-ziq, Aphex Twin",Expert Knob Twiddlers,Electronic,1996,Rephlex Records
14/05/2022,Kendrick Lamar,Mr. Morale & the Big Steppers,Hip Hop,2022,Top Dawg Entertainment
17/05/2022,"Air, OST",The Virgin Suicides,Rock,2000,Aircheology
18/05/2022,Herbie Hancock,Head Hunters,Jazz,1973,Columbia Records
18/05/2022,Kode9,Nothing,Electronic,2015,Hyperdub
19/05/2022,Avalanches,We Will Always Love You,Rock,2020,Modular Recordings
20/05/2022,Nick Drake,Pink Moon ,Folk,1972,Island Records
20/05/2022,Elliott Smith ,Elliott Smith ,Folk,1995,Kill Rock Stars 
20/05/2022,Matmos,Regards/Uklony dla Boguslaw Schaeffer,Experimental,2022,Thrill Jockey
21/05/2022,no caps,What Are We Doing,Rock,2022,[self]
22/05/2022,Sun Ra,Horizon,Jazz,1972,El Saturn Records
23/05/2022,Autechre,AE_LIVE_DUBLIN_150718,Electronic,2022,WARP
23/05/2022,!!! ,Myth Takes,Rock,2007,WARP
24/05/2022,"Jensen Interceptor, Defekt",Free Your Mind,Electronic,2022,Tresor Records
25/05/2022,Animistic Beliefs,Mind:Reset,Electronic,2019,Solar One Music
25/05/2022,Julia Lousie Knifefist,Julia Louise Knifefist,Electronic,2021,Drip Inc
26/05/2022,E.R.P,Ancient Lights (Hubble Telescope Series Vol. II),Electronic,2016,Solar One Music
26/05/2022,Luxus Varta,Everything is Nothing (Hubble Telescope Series Vol. I),Electronic,2015,Solar One Music
28/05/2022,Susobrino,Pocualeíto,Electronic ,2021,Kebrada 
29/05/2022,Haley Heynderickx,I Need to Start a Garden,Folk,2018,Mama Bird Recording Co
30/05/2022,King Gizzard & the Lizard Wizard,Omnium Gatherum,Rock,2022,KGLW
30/05/2022,700 Bliss,Nothing to Declare,Electronic,2022,Hyperdub
