Date,Artist ,Album,Genre,Year,Label,
09/01/2023,Nujabes,Modal Soul,Hip Hop,2005,Hydeout Productions,
11/01/2023,Buttechno,PSY X,Electronic,2020,PSY X Records,
11/01/2023,Hiroaki Iizuka,Inside,Electronic,2018,Self Reflektion,
11/01/2023,BABii,SCREAMER,Electronic,2022,Gloo,
12/01/2023,Javier Santiago,ReBirth - EP,Jazz,2020,Hot Record Societe,
13/01/2023,"Oliver Coates, OST",Aftersun ,Ambient,2023,INVADA Records,
13/01/2023,Cybe,Tropisch Verlangen,Experimental,2017,Stroom,
14/01/2023,Makaya McCraven,In These Times,Jazz,2022,XL Recordings,
15/01/2023,Mulatu Astatke,"Ethiopiques, Vol. 4: Ethio Jazz 1969-1974",Jazz,1998,Buda Musique,
15/01/2023,Sun Ra ,We Travel the Spaceways,Jazz,1967,Saturn,
15/01/2023,LDS,algo5,Electronic,2022,Blue Hour Music,
16/01/2023,King Gizzard & the Lizard Wizard,"Ice, Death, Planets, Lungs, Mushrooms and Lava",Rock,2022,KGLW,
17/01/2023,Vanessa Amara,Fonetica Amara,Experimental,2022,Posh Isolation,
17/01/2023,Tim Hecker,Harmony in Ultraviolet,Ambient,2006,Kranky,
17/01/2023,Giant Swan,Fantasy Food,Electronic,2023,KECK,
18/01/2023,Talking Heads,Fear of Music,Rock,1979,Sire Records,
18/01/2023,Low,HEY WHAT,Rock,2021,Sub Pop Records,
18/01/2023,Sully,Swandive EP,Electronic,2020,Astrophonica,
19/01/2023,The Smile,A Light for Attracting Attention,Rock,2022,XL Recordings,
20/01/2023,Gilla Band,The Talkies,Rock,2019,Rough Trade Records,
20/01/2023,Kelela,Take Me Apart,Pop,2017,WARP,
22/01/2023,Various Artists,Artificial Intelligence,Electronic,1992,WARP,
22/01/2023,Daniel Avery ,Ultra Truth ,Electronic,2022,Phantasy Sound,
23/01/2023,The Murder Capital ,Gigi's Recovery,Rock,2023,Human Season Records,
23/01/2023,Lighght,Stones and Mud,Ambient,2023,[self],
25/01/2023,Kali Malone,Does Spring Hide Its Joy,Ambient,2023,Ideologic Organ,
25/01/2023,Lesbians on Ecstasy,Lesbians on Ecstasy,Rock,2004,Alien8 Recordings,
26/01/2023,Mac DeMarco,Five Easy Hot Dogs,Rock,2023,[self],
26/01/2023,BFTT,Redefines,Electronic,2022,Tobago Tracks (TT),
27/01/2023,Ornette Coleman,At the Golden Circle Vol.1,Jazz,1966,Blue Note,
27/01/2023,Philip Glass,Music in Eight Parts,Classical,2020,Orange Mountain Music,
29/01/2023,King Tubby,King Tubbys Meets the Rockers Uptown,Rock,1976,Yard International,
30/01/2023,Gilla Band,Holding Hands with Jamie,Rock,2015,Rough Trade Records,
31/01/2023,Chris & Cosey,Techno Primitiv,Experimental,1985,Conspiracy International,
31/01/2023,Boy Harsher,Country Girl Uncut,Electronic,2019,Nude Club Records,
01/02/2023,Nine Inch Nails,Pretty Hate Machine,Rock,1989,TVT,
04/02/2023,Young Fathers,Heavy Heavy,Hip Hop,2023,Ninja Tune,
05/02/2023,Throbbing Gristle,D.O.A. the Third and Final Report of Throbbing Gristle,Experimental,1978,Mute Artists ,
06/02/2023,Dry Cleaning,New Long Leg,Rock,2021,4AD,
06/02/2023,Oppenheimer Analysis,New Mexico,Electronic,1982,Minimal Wave,
06/02/2023,Caroline Polachek,Pang,Pop,2019,Sony Music,
06/02/2023,Space Afrika,Honest Labour,Ambient,2021,Dais Records,
07/02/2023,Coil,Astral Disaster Sessions Un/Finished Musics,Experimental,2018,Acme,
07/02/2023,The Dead Texan,The Dead Texan,Ambient,2004,Kranky,
09/02/2023,Chris & Cosey,Heartbeat,Electronic,1981,Rough Trade Records,
11/02/2023,Jonatan Leandoer96,Sugar World,Rock,2023,YEAR0001,
12/02/2023,Throbbing Gristle,Simone Pott,Experimental,1981,Mute Artists ,
12/02/2023,Kelela,Raven,Pop,2023,WARP,
